address,label
F- 2 Akash Deep Rajaji Nagar Janakpuri Delhi 110045,1
"H No 683, Himayatnagar, Janakpuir, None 11004",0
House No 967-37 Sadar Bazar Bathinda  Punjab 142001,1
"Adyar, Mangan",0
"H No 38, Jamshedpur Jharkhand Telangana 822101",0
"Flat 52, Bandra East, Kotdwar",0
"618 Civil Lines Sopore 185,101",0
"gram mahanagar dist. geyzing, sikkim - 737132",1
"H No 85, Ambattur, Baramulla, Jammu and Kashmir 8756",0
683 BESANT NAGAR NGR MOGA PUNJAB 142001,1
"Flat 4B1, Ram Niwas, Besant Nagar, Warangal Telangana 509001",1
Kozhikode 680001,0
"village adyar, dist. bhadra k, odisha - 753001",1
"apt no 10, akash deep, andheri west, raipur, chhattisgarh 493773",1
"H No 593, Adyar, Bhaatpur, Rajastthan 05001",0
"Post Cantonment, Dist. Deoghar, Jharkhand - 826001",1
"845, Vastrapur Ln, Davangere, Karnataka 560100",1
"P.O. Velachery, D ist. Bangalore, Karnataka - 560100",1
"H No 146, Electronic City, Panipat, Delhi 110005",0
"Sector 45, Punjab 147001",0
"Village Banjara Hills, Dist. Nagaon, Assam - 782460",1
"Apt 9B8, Balaji Heights, Nehru Nagar, Vijayawada, Andhra Pradesh 533001",1
"H No 379, Whitefield, Chhapra, Odisha 753001",0
"Flat 66, Connaught Place",0
"458 Satellite Karol Bagh 110,034",0
"Flat 54, Koramangala, Tirunelveli",0
F- 7D3 Royal Enclave Connaught Place Bharatpur Rajasthan 332001,1
"Apt 23B, Su nrise Apartments, MG Road, Dhanbad, Jharkhand 815301",1
"H No 294, Rajaji Nagar, Hoshiaprur, Pujnab 60055",0
Apt No 7B Blue Diamond Ambattur Kashipur Uttarakhand 263139,1
"H No 506, Vasant Kunj",0
"435, Karol Bagh Chowk, Warangal, Telangana 500001",1
"H No 21, Anantnag Jammu and Kashmir Tamil Nadu 180001",0
"Vellore, Tamil Nadu",0
"H No 736, Besant Nagar, Varanasi, Uttar Pradesh 452770",0
Unit 23 Anand Villa Banjara Hills Rishikesh Uttarakhand 263153,1
Apt 19C9 Vasundhara Apartments Electronic City Laxmi Nagar Delhi 110045,1
"F- 19C3, Ravi Kiran, Vasant Kunj, Cuttack,  Odisha 769001",1
"H No 11, Tirunelveli Tamil Nadu Madhya Pradesh 600002",0
Unit 18C7 Golden Park Rajaji Nagar Chandigarh Chandigarh 160022,1
"654 Karol Bagh Jorhat 785,640",0
"P.O. Bandra East, Dist. Rudrapur, Uttarakhand - 263153",1
"Flat No 11, Tulsi Residency, Porur, Raigarh, Chhattisgarh 495677",1
"Connaught Place, West Bengal 713301",0
"Flat 921, Hazratganj, Canacona, Goa 4030",0
Door No 92226 Indira Nagar Ramgarh Jharkhand 815301,1
House No 273/11 Sector 62 Gwalior Madhya Pradesh 482001,1
Flat 7B4 Balaji Heights Whitefield Sambalpur Odisha 757001,1
"Khasra No 339, Sec 23, Salem, Tamil Nadu 641001",1
Apt No 1 Anand Villa Tambaram Adilabad Telangana 500001,1
Unit 149 Ravi Kiran T Nagar Kakinada Andhra Pradesh 522001,1
"Flat 81, Alambagh",0
"490001, Raipur, Chhattisgarh",0
"Plot No 315, Block 38, Electronic City, Rohini, Delhi 110017",1
"H No 116, Lajpat Nagar, Kathua, Jammu and Kashmir 364-806",0
Rajahmundry 530001,0
flat no 513 Vikas Nagar Pali,0
"Gram Pondur, Dist. Dhanbad, Jharkhand - 822101",1
flat no 25c shiv shakti colony sector 137 surat gujarat 360001,1
apt 8b saraswati apartments model town medininagar jharkhand 831001,1
"Gram Aundh, Dist. Solan, Himachal Pradesh - 173212",1
"Khasra No 116, Sec 39, Park Street, New Delhi, Delhi 110045",1
Silchar Sector 45,0
"H No 701, Awas Vikas, une, Maharastra 40005",0
"Village Borivali, Dist. Gangtok, Sikkim - 737121",1
Flat No 10A3 Anand Villa Himayatnagar Rajouri Jammu and Kashmir 190001,1
"H No 23, Udhampur Jammu and Kashmir Jharkhand 184101",0
"H No 707, Vastrapur",0
"H No 849, Sector 45, Cnucolim, Ga 03505",0
"Door No 149/, Nungambakkam, Ghaziabad, Uttar Pradesh 243001",1
House No 771/46 Banjara Hills Agra Uttar Pradesh 250001,1
Nehru Nagar Tiruppur,0
"H No 737, Navrangpura, Thane, Maharashtra E01041",0
"H. No. 146-, Besant Nagar, Kolkata, West Bengal 711101",1
"871, Banjara Hills Market, Geyzing, Sikkim 737121",1
54 Vastrapur Rd Ravangla Sikkim 737139,1
H.No-836 Navrangpura Vellore600002,0
"flat 10b2, balaji heights sector 22, alappuzha, kerala 688001",1
flat no 476 Mulund Yamunanagar,0
731 Awas Vikas Road Haridwar  Uttarakhand 246149,1
"H No 899, Sector 45, Tirupati, Andhra Pradesh 302DDD",0
"Apt No 229, Balaji Heights, Kothrud, Pelling, Sikkim 737116",1
"H No 735, Malviya Nagar, Koci, Keerala 76001",0
897 Rajaji Nagar Bazaar Ramnagar Uttarakhand 262501,1
"H. No. 81731, Anna Nagar, Ramagundam, Telangana 500003",1
"Tirunelveli, Tamil Nadu",0
"649 Indira Nagar Alappuzha 680,001",0
"Flat 33, Borivali",0
F- 18D9 SILVER HEIGHTS VIKAS NAGAR PALAKKAD KERALA 688001,1
"H No 427, Velachery",0
"H No 870, Porur, Chandigarh, Haryana 135001",0
Nungambakkam Lane Bijapur,0
Apt No 4C6 Ravi Kiran Awas Vikas Rajahmundry Andhra Pradesh 518001,1
"Bengaluru, Karnataka",0
"h. no. 528/, velachery, near city hospital, anantnag, jammu and kashmir 180001",1
"Flat 34, Besant Nagar, Kotdwar",0
Apt 23A Anand Villa Sector 137 Baramulla Jammu and Kashmir 180001,1
"Post Model Town, Dist. Dhanbad, Jharkhand - 829122",1
"H No 914, Model Town, Anantapur, Andhra Pradesh 2457",0
"807 Adyar Laxmi Nagar 110,005",0
"Unit 21C6, Shanti Niwas, Andheri West, Siliguri, West Bengal 713201",1
"Gram Borivali, Dist. Pelling, Sikkim - 737139",1
No. 717/37 Mahanagar Yuksom Sikkim 737111,1
Tinsukia 784001,0
"570001, Belgaum, Karnataka",0
No. 639 Ambattur Anantapur Andhra Pradesh 518001,1
"Flat 40, Lajpat Nagar",0
Aundh Thane,0
"FLAT NO 12B,  VASUNDHARA APARTMENTS, SADAR BAZAR MALDA, WEST BENGAL 713201",1
"Survey No 341, Block 50, Dwark a, Delhi 110005",1
Sector 137 Ln Laxmi Nagar,0
Bandra East Bokaro,0
"Flat 5, Prahlad Nagar, Warangal",0
"plot 119, block 33, visakhapatnam, andhra pradesh 522001",1
488 Porur Vihar Khammam Telangana 506001,1
Unit 77 Mahaveer Nagar Pondur Guntur Andhra Pradesh 515001,1
"Khasra No 199, Block 43, Velachery, Chandigarh, Chandigarh 160011",1
"H No 76, Deoghar Jharkhand Odisha 827001",0
"Flat 309, Sadar Bazar, Dhamtari, Chhattisgarh 4910",0
"Unit 4A5, Ravi Kiran, Andheri West, Kathua, Jammu And Kashmir 180001",1
"Flat 43, Kothrud, Surat",0
"khasra no 355, sec 34, mumbai maharashtra 400002",1
"flat no 16, radha krishna society, bandra east, belgaum, karnataka 577001",1
Civil Lines Sonipat,0
"D.No 175, Himayatnagar, Bharatpur, Rajasthan 332001",1
PitampuraDelhi110002,0
"Borivali, Tamil Nadu 636001",0
"H. No. 101/, Kothrud, Ambikapur, Chhattisgarh 496001",1
"Plot No 407, Sector 19, Hazratganj, Vijayawada, Andhra Pradesh 530001",1
"124001, Ambala, Haryana",0
H. No. 420- Vastrapur Chandigarh Chandigarh 160014,1
"Apt No 17D4, Ram Niwas Nungambakkam, Ravangla, Sikkim 737121",1
"H No 355, Pondur, ajouri, Jammu an Kashmir 19410",0
Door No 62019 Civil Lines Karimnagar Telangana 503001,1
Himayatnagar Ln Ranchi,0
"Rishikesh, Uttarakhand",0
"Apt 21C, Royal Enclave , Rajaji Nagar, Hazaribagh, Jharkhand 825301",1
"Flat 62, Adyar, Visakhapatnam",0
"H No 732, Nehru Nagar, Sivasagaar, Assamm 78246",0
Flat 21D1 Golden Park Borivali Hazaribagh Jharkhand 815301,1
"p.o. t nagar, dist. nalgonda, telangana - 500001",1
flat no 543 Nehru Nagar Anand,0
"Gram Sector 137, Dist. Surat, Gujarat - 361001",1
Near Near Railway Station Jamshedpur,0
"Khasra No 71, Sec 30, Yuksom, Sikkim 737121",1
572376,0
"Flat 908, Koramangala, Nellore, Andhra Pradesh 5180",0
"Vill Cantonment, Dist. Canacona, Goa - 403702",1
"f- 11d7, akash deep, awas vikas, patiala, punjab 143001",1
F- 7A8 Balaji Heights Koramangala Ramgarh Jharkhand 826001,1
No. 339-36 Bandra East Nagaon Assam 784001,1
606997,0
Hazratganj Avenue Manali,0
"D.No 334/12, Banjara Hills, Near School, Diphu, Assam 788710",1
"Plot 208, Block 19, Gandhi Nagar, Dibrugarh, Assam 785640",1
"H No 523, Connaught Place",0
flat no 851 Sector 137 Tirupati,0
"H No 374, Tambaram, Pathankot, Haryana 132103",0
flat no 26 Besant Nagar Adilabad,0
"Flat 214, Alambagh, Prayagraj, Uttar Pradesh 2820",0
"H No 791, Prahlad Nagar, Haridwar, Uttarakhand B2C084",0
"H No 317, Adyar, Baripada, Odisha 135762",0
D.No 44549 Prahlad Nagar Near Railway Station Gurugram Haryana 121001,1
H.No-37 Sector 15 Canacona403702,0
"Khasra No 311, Block 45 Shimla, Himachal Pradesh 171001",1
NO. 587-19 KORAMANGALA MUMBAI MAHARASHTRA 422001,1
"Post Anna Nagar, Dist. Muzaffarpur, Bihar - 841301",1
ChandigarhChandigarh160015,0
"Gram Porur, Dist. Pitampura, Delhi - 110001",1
"Flat 308, Himayatnagar, Gurgaon, Haryana 12400",0
"unit 98, anand villa, nehru nagar, jharsuguda, odisha 768001",1
"Flat 20, Karol Bagh, Nagaon",0
D.No 850-29 Vastrapur Belgaum Karnataka 575001,1
Unit 23C Vasundhara Apartments Awas Vikas Chennai Tamil Nadu 600002,1
"Flat No 23D, Balaji Heights, Vikas Nagar, Balasore, Odisha 756100",1
