address,label
"675, Park Street, Mumbai, Telangana 332550",1
!!! ??? ###,0
"131, Park Street, Hyderabad, Karnataka 301038",1
No city no state,0
"31, Nehru Street, Mumbai, Telangana 303729",1
Mumbai 4000AB,0
"941, Gandhi Nagar, Bangalore, Tamil Nadu 416726",1
Mumbai 8661,0
"784, Nehru Street, Chennai, Tamil Nadu 865602",1
!!! ??? ###,0
"302, Park Street, Delhi, Maharashtra 617871",1
Pune 6915,0
"401, MG Road, Bangalore, Karnataka 863495",1
asdfgh jkl,0
"35, Gandhi Nagar, Mumbai, Karnataka 978640",1
123 random text,0
"711, Gandhi Nagar, Hyderabad, Tamil Nadu 744457",1
asdfgh jkl,0
"70, MG Road, Mumbai, Delhi 583478",1
No city no state,0
"814, Sector 15, Mumbai, Telangana 718441",1
Mumbai 7482,0
"844, Sector 15, Pune, Karnataka 894752",1
asdfgh jkl,0
"321, Sector 15, Hyderabad, Delhi 846255",1
asdfgh jkl,0
"479, MG Road, Pune, Maharashtra 954489",1
Mumbai 2413,0
"654, Nehru Street, Chennai, Tamil Nadu 182305",1
!!! ??? ###,0
"706, Sector 15, Pune, Maharashtra 808332",1
Delhi 9611,0
"188, MG Road, Bangalore, Telangana 961634",1
!!! ??? ###,0
"377, Gandhi Nagar, Bangalore, Telangana 291941",1
123 random text,0
"791, Park Street, Pune, Delhi 522299",1
!!! ??? ###,0
"427, Gandhi Nagar, Pune, Karnataka 619108",1
Delhi 7955,0
"517, Gandhi Nagar, Bangalore, Telangana 269472",1
!!! ??? ###,0
"859, Gandhi Nagar, Bangalore, Karnataka 157955",1
!!! ??? ###,0
"219, MG Road, Chennai, Delhi 184528",1
No city no state,0
"273, Park Street, Mumbai, Telangana 853538",1
No city no state,0
"794, Nehru Street, Mumbai, Tamil Nadu 433714",1
!!! ??? ###,0
"369, MG Road, Delhi, Maharashtra 483657",1
!!! ??? ###,0
"833, Sector 15, Mumbai, Karnataka 357471",1
asdfgh jkl,0
"516, Sector 15, Pune, Telangana 263803",1
!!! ??? ###,0
"660, Gandhi Nagar, Delhi, Maharashtra 945533",1
Mumbai 4000AB,0
"952, Gandhi Nagar, Delhi, Tamil Nadu 994067",1
No city no state,0
"648, Sector 15, Hyderabad, Delhi 642944",1
Chennai 8517,0
"683, Nehru Street, Chennai, Maharashtra 345704",1
!!! ??? ###,0
"555, Park Street, Mumbai, Tamil Nadu 126125",1
asdfgh jkl,0
"994, Park Street, Hyderabad, Karnataka 694991",1
!!! ??? ###,0
"829, Nehru Street, Mumbai, Telangana 486191",1
No city no state,0
"103, Sector 15, Pune, Delhi 960224",1
asdfgh jkl,0
"588, Gandhi Nagar, Delhi, Tamil Nadu 196318",1
No city no state,0
"26, Nehru Street, Mumbai, Tamil Nadu 391469",1
No city no state,0
"248, Sector 15, Delhi, Maharashtra 347711",1
!!! ??? ###,0
"498, Park Street, Hyderabad, Telangana 400532",1
123 random text,0
"522, Park Street, Chennai, Tamil Nadu 803696",1
asdfgh jkl,0
"459, Nehru Street, Bangalore, Delhi 112221",1
No city no state,0
"401, Sector 15, Delhi, Maharashtra 987717",1
Mumbai 4000AB,0
"628, Sector 15, Bangalore, Telangana 136092",1
asdfgh jkl,0
"116, Gandhi Nagar, Mumbai, Maharashtra 897717",1
Pune 8844,0
"269, MG Road, Bangalore, Telangana 861114",1
!!! ??? ###,0
"93, Sector 15, Mumbai, Maharashtra 577251",1
No city no state,0
"855, Sector 15, Bangalore, Tamil Nadu 230453",1
Mumbai 4000AB,0
"619, Nehru Street, Chennai, Karnataka 847895",1
Delhi 6451,0
"533, MG Road, Mumbai, Maharashtra 358221",1
!!! ??? ###,0
"890, Sector 15, Hyderabad, Karnataka 789346",1
Pune 2457,0
"322, MG Road, Chennai, Telangana 183419",1
No city no state,0
"982, MG Road, Bangalore, Maharashtra 726331",1
No city no state,0
"784, Gandhi Nagar, Mumbai, Karnataka 497497",1
123 random text,0
"83, Park Street, Chennai, Tamil Nadu 127986",1
asdfgh jkl,0
"712, Gandhi Nagar, Hyderabad, Tamil Nadu 896772",1
No city no state,0
"932, Nehru Street, Pune, Delhi 206113",1
asdfgh jkl,0
"371, Park Street, Delhi, Delhi 866394",1
asdfgh jkl,0
"51, Gandhi Nagar, Bangalore, Delhi 854413",1
Hyderabad 3308,0
"74, Park Street, Bangalore, Karnataka 444354",1
!!! ??? ###,0
"761, MG Road, Delhi, Delhi 650572",1
123 random text,0
"334, Sector 15, Chennai, Delhi 403722",1
!!! ??? ###,0
"822, Gandhi Nagar, Chennai, Telangana 351863",1
Hyderabad 2738,0
"58, MG Road, Delhi, Telangana 888402",1
asdfgh jkl,0
"220, Gandhi Nagar, Bangalore, Delhi 526683",1
!!! ??? ###,0
"838, MG Road, Chennai, Karnataka 729518",1
!!! ??? ###,0
"808, MG Road, Mumbai, Telangana 170799",1
Mumbai 4000AB,0
"715, Sector 15, Delhi, Telangana 186442",1
123 random text,0
"517, Park Street, Chennai, Telangana 917930",1
!!! ??? ###,0
"971, Nehru Street, Mumbai, Tamil Nadu 579020",1
!!! ??? ###,0
"444, Gandhi Nagar, Pune, Karnataka 116412",1
Hyderabad 9943,0
"338, Gandhi Nagar, Mumbai, Telangana 776445",1
Mumbai 4000AB,0
"935, Gandhi Nagar, Delhi, Telangana 727696",1
Mumbai 4000AB,0
"170, Gandhi Nagar, Mumbai, Delhi 197986",1
Mumbai 5852,0
"506, Sector 15, Mumbai, Tamil Nadu 880780",1
Pune 3657,0
"891, Gandhi Nagar, Hyderabad, Karnataka 608416",1
!!! ??? ###,0
"391, Nehru Street, Chennai, Karnataka 827202",1
Mumbai 4000AB,0
"819, Sector 15, Chennai, Telangana 957269",1
No city no state,0
"538, Nehru Street, Bangalore, Delhi 887928",1
Chennai 1641,0
"62, Park Street, Bangalore, Telangana 390311",1
asdfgh jkl,0
"36, Nehru Street, Hyderabad, Karnataka 763075",1
!!! ??? ###,0
"752, Sector 15, Chennai, Tamil Nadu 541336",1
!!! ??? ###,0
"154, Gandhi Nagar, Hyderabad, Telangana 531484",1
asdfgh jkl,0
"441, Sector 15, Hyderabad, Karnataka 494873",1
123 random text,0
"275, Nehru Street, Delhi, Telangana 444558",1
asdfgh jkl,0
"104, Park Street, Bangalore, Karnataka 220878",1
!!! ??? ###,0
"510, Nehru Street, Hyderabad, Karnataka 236617",1
Chennai 8055,0
"446, Nehru Street, Pune, Delhi 968162",1
Mumbai 4000AB,0
"906, Sector 15, Mumbai, Maharashtra 922622",1
No city no state,0
"585, Gandhi Nagar, Chennai, Delhi 691182",1
123 random text,0
"920, Nehru Street, Hyderabad, Maharashtra 128100",1
123 random text,0
"694, Park Street, Bangalore, Tamil Nadu 481937",1
123 random text,0
"458, Park Street, Delhi, Delhi 155839",1
asdfgh jkl,0
"882, Sector 15, Bangalore, Delhi 233167",1
123 random text,0
"254, Gandhi Nagar, Delhi, Karnataka 328806",1
Hyderabad 1521,0
"315, Park Street, Delhi, Telangana 798512",1
Mumbai 4000AB,0
"353, Gandhi Nagar, Pune, Karnataka 929450",1
123 random text,0
"912, Park Street, Pune, Delhi 164890",1
!!! ??? ###,0
"373, Gandhi Nagar, Chennai, Tamil Nadu 557817",1
!!! ??? ###,0
"685, Park Street, Mumbai, Delhi 196846",1
Mumbai 4000AB,0
"562, Gandhi Nagar, Delhi, Tamil Nadu 937242",1
Mumbai 4000AB,0
"226, Gandhi Nagar, Bangalore, Tamil Nadu 394990",1
Bangalore 1946,0
"83, Sector 15, Delhi, Karnataka 292238",1
123 random text,0
"640, MG Road, Bangalore, Telangana 703545",1
!!! ??? ###,0
"849, Sector 15, Hyderabad, Maharashtra 101226",1
Bangalore 6690,0
"141, Park Street, Delhi, Telangana 280107",1
Mumbai 4000AB,0
"961, Park Street, Delhi, Telangana 140481",1
No city no state,0
"347, MG Road, Pune, Maharashtra 569613",1
No city no state,0
"302, MG Road, Hyderabad, Telangana 138339",1
Hyderabad 2806,0
"835, Gandhi Nagar, Mumbai, Telangana 402680",1
!!! ??? ###,0
"207, Park Street, Chennai, Telangana 972565",1
Mumbai 4000AB,0
"302, MG Road, Mumbai, Maharashtra 247179",1
asdfgh jkl,0
"179, Park Street, Delhi, Telangana 196657",1
asdfgh jkl,0
"160, Gandhi Nagar, Pune, Telangana 781946",1
!!! ??? ###,0
"723, Park Street, Chennai, Telangana 386247",1
Mumbai 8046,0
"617, Park Street, Chennai, Delhi 221956",1
Pune 8421,0
"875, MG Road, Mumbai, Karnataka 746402",1
No city no state,0
"995, Gandhi Nagar, Mumbai, Delhi 720531",1
!!! ??? ###,0
"656, Nehru Street, Mumbai, Karnataka 185312",1
123 random text,0
"801, Nehru Street, Delhi, Telangana 181477",1
123 random text,0
"927, MG Road, Pune, Maharashtra 554955",1
Chennai 4459,0
"336, Nehru Street, Mumbai, Karnataka 891302",1
asdfgh jkl,0
"708, Gandhi Nagar, Chennai, Maharashtra 876813",1
asdfgh jkl,0
"364, Nehru Street, Bangalore, Maharashtra 767060",1
Mumbai 4000AB,0
"206, Park Street, Chennai, Tamil Nadu 301768",1
Mumbai 4000AB,0
"582, Park Street, Bangalore, Telangana 773755",1
asdfgh jkl,0
"365, Gandhi Nagar, Delhi, Karnataka 164829",1
asdfgh jkl,0
"279, Nehru Street, Bangalore, Telangana 239515",1
No city no state,0
"239, Nehru Street, Chennai, Delhi 732570",1
asdfgh jkl,0
